finbif_api_var,translated_var,dwc,superseeded,type
result.document.secureReasons,restriction_reason,documentInformationWithheldReason,FALSE,character
result.unit.id,record_id,occurrenceID,FALSE,character
taxonomy.vernacular.name.en,common_name_english,vernacularNameEnglish,FALSE,character
taxonomy.vernacular.name.fi,common_name_finnish,vernacularNameFinnish,FALSE,character
taxonomy.vernacular.name.sv,common_name_swedish,vernacularNameSwedish,FALSE,character
gathering.conversions.ykj1kmCenter.lat,lat_1_center_ykj,decimalLatitudeGrid1CenterYKJ,FALSE,integer
gathering.conversions.ykj10kmCenter.lat,lat_10_center_ykj,decimalLatitudeGrid10CenterYKJ,FALSE,integer
gathering.conversions.ykj1kmCenter.lon,lon_1_center_ykj,decimalLongitudeGrid1CenterYKJ,FALSE,integer
gathering.conversions.ykj10kmCenter.lon,lon_10_center_ykj,decimalLongitudeGrid10CenterYKJ,FALSE,integer
gathering.conversions.ykj1km.lat,lat_1_ykj,decimalLatitudeGrid1YKJ,FALSE,integer
gathering.conversions.ykj10km.lat,lat_10_ykj,decimalLatitudeGrid10YKJ,FALSE,integer
gathering.conversions.ykj1km.lon,lon_1_ykj,decimalLongitudeGrid1YKJ,FALSE,integer
gathering.conversions.ykj10km.lon,lon_10_ykj,decimalLongitudeGrid10YKJ,FALSE,integer
gathering.eventDate.begin,date_start,eventDateStart,FALSE,character
gathering.eventDate.end,date_end,eventDateEnd,FALSE,character
gathering.hourBegin,hour_start,hourStart,FALSE,integer
gathering.hourEnd,hour_end,hourEnd,FALSE,integer
gathering.minutesBegin,minute_start,minuteStart,FALSE,integer
gathering.minutesEnd,minute_end,minuteEnd,FALSE,integer
result.document.siteType,site_type,siteType,FALSE,character
result.document.dataSource,data_source,dataSource,FALSE,character
result.document.siteStatus,site_status,siteStatus,FALSE,character
result.gathering.coordinatesVerbatim,coordinates_verbatim,verbatimCoordinates,FALSE,character
result.unit.linkings.taxon.occurrenceCountFinland,n_total_finnish_records,taxonOccurrenceCountFinnish,FALSE,integer
result.unit.linkings.taxon.primaryHabitat,primary_habitat,primaryHabitat,FALSE,character
result.unit.atlasClass,atlas_class,atlasClass,FALSE,character
result.unit.atlasCode,atlas_code,atlasCode,FALSE,character
