finbif_api_var,translated_var,dwc,superseeded,type,localised
Gathering.GatheringID,event_id,eventID,FALSE,character,FALSE
Gathering.Quality.Issue.Issue,event_issue,eventIssue,FALSE,character,FALSE
Gathering.Quality.Issue.Message,event_issue_message,eventIssueRemarks,FALSE,character,FALSE
Gathering.Quality.Issue.Source,event_issue_source,eventIssueSource,FALSE,character,FALSE
Gathering.MediaCount,event_media_count,eventAssociatedMediaCount,FALSE,integer,FALSE
Gathering.Notes,event_notes,eventRemarks,FALSE,character,FALSE
Gathering.GatheringOrder,event_order,eventOrder,FALSE,integer,FALSE
Document.FirstLoadDate,first_load_date,documentFirstLoadedDate,FALSE,character,FALSE
Gathering.Conversions.WGS84_WKT,footprint_wgs84,footprintWKT,FALSE,character,FALSE
Gathering.DisplayDateTime,formatted_date_time,eventDateTimeDisplay,FALSE,character,FALSE
Gathering.HigherGeographyVerbatim,higher_geography,higherGeography,FALSE,character,FALSE
Gathering.HourEnd,hour_end,hourEnd,FALSE,integer,FALSE
Gathering.HourBegin,hour_start,hourStart,FALSE,integer,FALSE
Unit.IndividualID,individual_id,organismID,FALSE,character,FALSE
Taxon.InformalGroupEN,informal_groups_english,informalTaxonGroupsEnglish,FALSE,character,FALSE
Taxon.InformalGroupFI,informal_groups_finnish,informalTaxonGroupsFinnish,FALSE,character,FALSE
Unit.Interpretations.InvasiveControl,invasive_control_class,invasiveControlClass,FALSE,character,FALSE
Unit.BreedingSite,is_breeding_location,breedingLocationStatus,FALSE,logical,FALSE
Document.PartialDocument,is_partial,documentPartialStatus,FALSE,logical,FALSE
Unit.Wild,is_wild,occurrenceIsWild,FALSE,character,FALSE
Gathering.Conversions.YKJ_1KM.Lat.N.,lat_1_ykj,decimalLatitudeGrid1YKJ,FALSE,integer,FALSE
Gathering.Conversions.YKJ_10KM.Lat.N.,lat_10_ykj,decimalLatitudeGrid10YKJ,FALSE,integer,FALSE
Gathering.Conversions.ETRS.TM35FINCenterPoint.Lat.N.,lat_euref,decimalLatitudeEUREF,FALSE,double,FALSE
Gathering.Conversions.ETRS.TM35FIN.LatMax.N.,lat_max_euref,decimalLatitudeMaxEUREF,FALSE,double,FALSE
Gathering.Conversions.EUREF.LatMax.N.,lat_max_euref,decimalLatitudeMaxEUREF,Gathering.Conversions.ETRS.TM35FIN.LatMax.N.,double,FALSE
Gathering.Conversions.YKJ.LatMax.N.,lat_max_ykj,decimalLatitudeMaxYKJ,FALSE,double,FALSE
Gathering.Conversions.WGS84.LatMax.N.,lat_max_wgs84,decimalLatitudeMaxWGS84,FALSE,double,FALSE
Gathering.Conversions.ETRS.TM35FIN.LatMin.N.,lat_min_euref,decimalLatitudeMinEUREF,FALSE,double,FALSE
Gathering.Conversions.EUREF.LatMin.N.,lat_min_euref,decimalLatitudeMinEUREF,Gathering.Conversions.ETRS.TM35FIN.LatMin.N.,double,FALSE
Gathering.Conversions.YKJ.LatMin.N.,lat_min_ykj,decimalLatitudeMinYKJ,FALSE,double,FALSE
Gathering.Conversions.WGS84.LatMin.N.,lat_min_wgs84,decimalLatitudeMinWGS84,FALSE,double,FALSE
Gathering.Conversions.WGS84CenterPoint.Lat.N.,lat_wgs84,decimalLatitude,FALSE,double,FALSE
Document.License,license,documentLicense,FALSE,character,FALSE
Unit.LifeStage,life_stage,lifeStage,FALSE,character,TRUE
Document.LoadDate,load_date,documentLoadedDate,FALSE,character,FALSE
Gathering.LocalityVerbatim,locality,locality,FALSE,character,FALSE
Document.NamedPlaceID,location_id,locationID,FALSE,character,FALSE
Gathering.Quality.LocationIssue.Issue,location_issue,locationIssue,FALSE,character,FALSE
Gathering.Quality.LocationIssue.Message,location_issue_message,locationIssueRemarks,FALSE,character,FALSE
Gathering.Quality.LocationIssue.Source,location_issue_source,locationIssueSource,FALSE,character,FALSE
Gathering.Conversions.YKJ_1KM.Lon.E.,lon_1_ykj,decimalLongitudeGrid1YKJ,FALSE,integer,FALSE
Gathering.Conversions.YKJ_10KM.Lon.E.,lon_10_ykj,decimalLongitudeGrid10YKJ,FALSE,integer,FALSE
Gathering.Conversions.ETRS.TM35FINCenterPoint.Lon.E.,lon_euref,decimalLongitudeEUREF,FALSE,double,FALSE
Gathering.Conversions.ETRS.TM35FIN.LonMax.E.,lon_max_euref,decimalLongitudeMaxEUREF,FALSE,double,FALSE
Gathering.Conversions.EUREF.LonMax.E.,lon_max_euref,decimalLongitudeMaxEUREF,Gathering.Conversions.ETRS.TM35FIN.LonMax.E.,double,FALSE
Gathering.Conversions.YKJ.LonMax.E.,lon_max_ykj,decimalLongitudeMaxYKJ,FALSE,double,FALSE
Gathering.Conversions.WGS84.LonMax.E.,lon_max_wgs84,decimalLongitudeMaxWGS84,FALSE,double,FALSE
Gathering.Conversions.ETRS.TM35FIN.LonMin.E.,lon_min_euref,decimalLongitudeMinEUREF,FALSE,double,FALSE
Gathering.Conversions.EUREF.LonMin.E.,lon_min_euref,decimalLongitudeMinEUREF,Gathering.Conversions.ETRS.TM35FIN.LonMin.E.,double,FALSE
Gathering.Conversions.YKJ.LonMin.E.,lon_min_ykj,decimalLongitudeMinYKJ,FALSE,double,FALSE
Gathering.Conversions.WGS84.LonMin.E.,lon_min_wgs84,decimalLongitudeMinWGS84,FALSE,double,FALSE
Gathering.Conversions.WGS84CenterPoint.Lon.E.,lon_wgs84,decimalLongitude,FALSE,double,FALSE
Document.Modified,modified_date,documentModified,FALSE,character,FALSE
Gathering.Conversions.Month,month,month,FALSE,integer,FALSE
Gathering.MunicipalityVerbatim,municipality_verbatim,verbatimCounty,FALSE,character,FALSE
Gathering.Interpretations.Municipality,municipality,county,FALSE,character,FALSE
Gathering.Interpretations.MunicipalitySource,municipality_source,countySource,FALSE,character,FALSE
Gathering.Conversions.DayOfYearEnd,ordinal_day_end,endDayOfYear,FALSE,integer,FALSE
Gathering.Conversions.DayOfYearBegin,ordinal_day_start,startDayOfYear,FALSE,integer,FALSE
Unit.Interpretations.PairCount,pair_abundance,pairCount,FALSE,integer,FALSE
Gathering.Interpretations.Bioprovince,bio_province_interpreted,bioStateProvinceInterpreted,FALSE,character,FALSE
Gathering.Interpretations.BioProvinceSource,bio_province_source,stateBioProvinceSource,FALSE,character,FALSE
Gathering.BioProvinceVerbatim,province_verbatim,verbatimBioStateProvince,FALSE,character,FALSE
Gathering.ProvinceVerbatim,region_verbatim,verbatimStateProvince,FALSE,character,FALSE
Unit.AnnotationCount,record_annotation_count,occurrenceAnnotationCount,FALSE,integer,FALSE
Unit.DetailedRecordBasis,record_basis,basisOfRecord,FALSE,character,TRUE
Unit.UnitID,record_id,occurrenceID,FALSE,character,FALSE
Unit.Quality.Issue.Issue,record_issue,occurrenceIssue,FALSE,character,FALSE
Unit.Quality.Issue.Message,record_issue_message,occurrenceIssueRemarks,FALSE,character,FALSE
Unit.Quality.Issue.Source,record_issue_source,occurrenceIssueSource,FALSE,character,FALSE
Unit.Keywords,record_keywords,occurrenceKeywords,FALSE,character,FALSE
Unit.MediaCount,record_media_count,occurrenceAssociatedMediaCount,FALSE,integer,FALSE
Unit.Notes,record_notes,occurrenceRemarks,FALSE,character,FALSE
Unit.UnitOrder,record_order,occurrenceOrder,FALSE,integer,FALSE
Unit.Interpretations.RecordQuality,record_quality,occurrenceQuality,FALSE,character,FALSE
Taxon.LatestRedListStatus,red_list_status,taxonRedListStatus,FALSE,character,FALSE
Unit.TaxonVerbatim,reported_name,verbatimIdentification,FALSE,character,FALSE
Unit.ReportedTaxonConfidence,reported_taxon_confidence,identificationQualifer,FALSE,character,FALSE
Document.DataSecureLevel,restriction_level,documentInformationWithheld,FALSE,character,FALSE
Document.DataSecureReasons,restriction_reason,documentInformationWithheldReason,FALSE,character,TRUE
Unit.SampleCount,sample_count,materialSampleCount,FALSE,integer,FALSE
Taxon.ScientificName,scientific_name_interpreted,scientificNameInterpreted,FALSE,character,FALSE
Gathering.GatheringSection,section,eventSection,FALSE,integer,FALSE
Unit.Sex,sex,sex,FALSE,character,TRUE
Document.SourceID,source_id,sourceID,FALSE,character,FALSE
Unit.RecordBasis,superrecord_basis,basisOfSuperRecord,FALSE,character,TRUE
Taxon.ID,taxon_id,taxonConceptID,FALSE,character,FALSE
Taxon.TaxonomicOrder,taxonomic_order,taxonTaxonomicOrder,FALSE,character,FALSE
Gathering.TeamMembers,team,recordedBy,FALSE,character,FALSE
Gathering.Quality.TimeIssue.Issue,time_issue,timeIssue,FALSE,character,FALSE
Gathering.Quality.TimeIssue.Message,time_issue_message,timeIssueRemarks,FALSE,character,FALSE
Gathering.Quality.TimeIssue.Source,time_issue_source,timeIssueSource,FALSE,character,FALSE
Unit.TypeSpecimen,type_specimen,typeStatus,FALSE,logical,FALSE
Gathering.Conversions.Year,year,year,FALSE,integer,FALSE
Unit.Quality.Taxon.Reliability,record_quality,occurrenceQuality,Unit.Interpretations.RecordQuality,character,TRUE
Unit.Quality.Taxon.Source,record_quality_source,occurrenceQualitySource,,character,FALSE
Unit.Quality.Taxon.Message,record_quality_message,occurrenceQualityMessage,,character,FALSE
Document.Quality.CollectionReliabilityRating,collection_quality,collectionQuality,Document.Linkings.CollectionQuality,character,TRUE
Unit.InvasiveControl,invasive_control,invasiveControlled,Unit.Interpretations.InvasiveControl,logical,FALSE
Unit.PlantStatusCode,plant_status_code,plantStatusCode,FALSE,character,FALSE
Unit.AtlasCode,atlas_code_id,atlasCodeID,FALSE,character,FALSE
Unit.AtlasClass,atlas_class_id,atlasClassID,FALSE,character,FALSE
Gathering.StateLand,state_land,stateLand,FALSE,character,FALSE
Document.OriginalDataSource,data_source,dataSource,FALSE,character,FALSE
Document.MonitoringSiteType,site_type,siteType,FALSE,character,FALSE
Document.MonitoringSiteStatus,site_status,siteStatus,FALSE,character,FALSE
Taxon.Lajiturva,threatened_status,threatenedStatus,FALSE,character,FALSE
Taxon.StatusesFI,regulatory_status_finnish,regulatoryStatusFinnish,FALSE,character,FALSE
Unit.Interpretations.Tags,record_derived_tags,occurrenceDerivedTags,FALSE,character,FALSE
Unit.Alive,is_alive,isAlive,FALSE,logical,FALSE
Gathering.AccurateArea,accurate_area,accurateArea,FALSE,logical,FALSE
Unit.Local,local,local,FALSE,logical,FALSE
